"","date","eventId","selection","home","away","toverByPrice","turnover","APL"
"1","01/01/2017",4414294,"Arsenal","Arsenal","Crystal Palace",61883.6838,45861.26,1.34936728297478
"2","01/01/2017",4414294,"Crystal Palace","Arsenal","Crystal Palace",184655.35,17627.82,10.4752232550593
"3","01/01/2017",4414294,"Draw","Arsenal","Crystal Palace",41557.018,7540.92,5.51086843515115
"4","01/01/2017",4414399,"Draw","Watford","Tottenham",13851.129,3517.82,3.93741834431551
"5","01/01/2017",4414399,"Tottenham","Watford","Tottenham",184797.5196,114681.12,1.61140316383377
"6","01/01/2017",4414399,"Watford","Watford","Tottenham",73569.209,12606.46,5.8358340882373
"7","01/02/2017",4413713,"Draw","Manchester Utd","Hull",8293.93,1130,7.3397610619469
"8","01/02/2017",4413713,"Hull","Manchester Utd","Hull",130880.46,7150.82,18.3028603712581
"9","01/02/2017",4413713,"Manchester Utd","Manchester Utd","Hull",17798.9,14842.22,1.19920739619814
"10","01/02/2017",4413852,"Draw","Stoke","Everton",32646.77,9561.08,3.41454835646182
"11","01/02/2017",4413852,"Everton","Stoke","Everton",20516.6252,8119.2,2.52692693861464
"12","01/02/2017",4413852,"Stoke","Stoke","Everton",6668.5588,2242.68,2.97347762498439
"13","01/02/2017",4414194,"Draw","West Ham","Manchester City",9744.1604,2229.46,4.37063701524136
"14","01/02/2017",4414194,"Manchester City","West Ham","Manchester City",27407.0604,17166.8,1.59651539017173
"15","01/02/2017",4414194,"West Ham","West Ham","Manchester City",14989.3,2572.28,5.82724275739811
"16","01/04/2017",4413962,"Draw","Watford","Sunderland",154.465,44.12,3.5010199456029
"17","01/04/2017",4413962,"Sunderland","Watford","Sunderland",7102.0643305676,1600.14,4.43840184644319
"18","01/04/2017",4413962,"Watford","Watford","Sunderland",2324.050387644,1206.04,1.92700937584491
"19","01/04/2017",4414010,"Draw","Leicester","Stoke",4776.687,1355.74,3.52330609113842
"20","01/04/2017",4414010,"Leicester","Leicester","Stoke",33355.55261347,16822.22,1.98282703552028
"21","01/04/2017",4414010,"Stoke","Leicester","Stoke",2558.3699997648,627.06,4.0799445025433
"22","01/04/2017",4414013,"Bournemouth","Southampton","Bournemouth",13990.114,2547.96,5.49071178511437
"23","01/04/2017",4414013,"Draw","Southampton","Bournemouth",13583.796,3367.56,4.03372055731746
"24","01/04/2017",4414013,"Southampton","Southampton","Bournemouth",13912.2213556766,8378.22,1.66052232522858
"25","01/04/2017",4414040,"Draw","Liverpool","Everton",65369.143,16452.34,3.97324289432385
"26","01/04/2017",4414040,"Everton","Liverpool","Everton",157021.962,29010.16,5.4126541184192
"27","01/04/2017",4414040,"Liverpool","Liverpool","Everton",44375.4981790514,25931.32,1.71127031632217
"28","01/04/2017",4414142,"Draw","Manchester Utd","West Brom",6116.7004,1211.18,5.05019930976403
"29","01/04/2017",4414142,"Manchester Utd","Manchester Utd","West Brom",31134.4310977218,22627.06,1.37598216903662
"30","01/04/2017",4414142,"West Brom","Manchester Utd","West Brom",41260.44,4324.48,9.54113326920231
"31","01/04/2017",4414251,"Draw","Hull","West Ham",19455.491,5567.2,3.49466356516741
"32","01/04/2017",4414251,"Hull","Hull","West Ham",4932.1165,2039.22,2.41862893655417
"33","01/04/2017",4414251,"West Ham","Hull","West Ham",5854.0202,1868.54,3.13293812281246
"34","01/04/2017",4414358,"Chelsea","Chelsea","Crystal Palace",42548.0308408116,32205.1,1.32115816565735
"35","01/04/2017",4414358,"Crystal Palace","Chelsea","Crystal Palace",16069.45,1334.12,12.0449809612329
"36","01/04/2017",4414358,"Draw","Chelsea","Crystal Palace",2034.138,385.34,5.2788135153371
"37","01/04/2017",4414406,"Burnley","Burnley","Tottenham",11431.575,2099.5,5.44490354846392
"38","01/04/2017",4414406,"Draw","Burnley","Tottenham",2065.774,557.76,3.70369693057946
"39","01/04/2017",4414406,"Tottenham","Burnley","Tottenham",18176.2273958148,10583.54,1.71740527232049
"40","01/05/2017",4414292,"Draw","Watford","Liverpool",8881.5684641522,2071.66,4.28717476041059
"41","01/05/2017",4414292,"Liverpool","Watford","Liverpool",45729.319062378,29056.2,1.57382311046792
"42","01/05/2017",4414292,"Watford","Watford","Liverpool",59184.385,9909.72,5.97235693844024
"43","01/10/2016",4413755,"Chelsea","Hull","Chelsea",30375.6212,20494.12,1.48216274716846
"44","01/10/2016",4413755,"Draw","Hull","Chelsea",26088.637,5700.66,4.57642395792768
"45","01/10/2016",4413755,"Hull","Hull","Chelsea",57947.97,7821.26,7.40903255997116
"46","01/10/2016",4413819,"Draw","Swansea","Liverpool",21271.7616,4538.18,4.68728908945877
"47","01/10/2016",4413819,"Liverpool","Swansea","Liverpool",32774.5642,22498.52,1.45674311910295
"48","01/10/2016",4413819,"Swansea","Swansea","Liverpool",12254.85,1661.3,7.37666285439114
"49","01/10/2016",4413865,"Draw","West Ham","Middlesbrough",2781.04,818.66,3.39706349400239
"50","01/10/2016",4413865,"Middlesbrough","West Ham","Middlesbrough",6614.391,1822.28,3.62973363039708
"51","01/10/2016",4413865,"West Ham","West Ham","Middlesbrough",14474.522,6793.1,2.13076827957781
"52","01/10/2016",4413919,"Bournemouth","Watford","Bournemouth",2439.0852,790.54,3.08534065322438
"53","01/10/2016",4413919,"Draw","Watford","Bournemouth",3177.771,953.18,3.33386243941333
"54","01/10/2016",4413919,"Watford","Watford","Bournemouth",11996.7734,4955.3,2.42099840574738
"55","01/10/2016",4414011,"Draw","Sunderland","West Brom",15777.788,4931.18,3.19959685105796
"56","01/10/2016",4414011,"Sunderland","Sunderland","West Brom",3522.6098,1410.04,2.49823395080991
"57","01/10/2016",4414011,"West Brom","Sunderland","West Brom",5093.407,1607.06,3.16939442211243
"58","02/01/2017",4413734,"Draw","Sunderland","Liverpool",10459.716,1989.6,5.25719541616405
"59","02/01/2017",4413734,"Liverpool","Sunderland","Liverpool",17588.1532,13158.82,1.33660565309048
"60","02/01/2017",4413734,"Sunderland","Sunderland","Liverpool",62439.87,5982.66,10.4368073733089
"61","02/01/2017",4413846,"Draw","Everton","Southampton",3476.524,1090.22,3.18882794298398
"62","02/01/2017",4413846,"Everton","Everton","Southampton",86661.1454,37853.8,2.28936448652447
"63","02/01/2017",4413846,"Southampton","Everton","Southampton",3970.115,1140.24,3.4818240019645
"64","02/01/2017",4413979,"Draw","West Ham","Manchester Utd",24537.6984,5804.4,4.22743063882572
"65","02/01/2017",4413979,"Manchester Utd","West Ham","Manchester Utd",75449.9858,47930.54,1.57415263420775
"66","02/01/2017",4413979,"West Ham","West Ham","Manchester Utd",103251.172,17001.6,6.07302677395069
"67","02/01/2017",4414023,"Draw","Middlesbrough","Leicester",46448.941,14781.26,3.1424209438167
"68","02/01/2017",4414023,"Leicester","Middlesbrough","Leicester",27410.5012,9612.48,2.85155352208795
"69","02/01/2017",4414023,"Middlesbrough","Middlesbrough","Leicester",55317.6008,20164.52,2.74331354279695
"70","02/01/2017",4414026,"Draw","West Brom","Hull",7909.995,2367.2,3.34149839472795
"71","02/01/2017",4414026,"Hull","West Brom","Hull",7605.72,1574.92,4.829273867879
"72","02/01/2017",4414026,"West Brom","West Brom","Hull",87028.9484,46139.34,1.8862200542964
"73","02/01/2017",4414184,"Burnley","Manchester City","Burnley",42799.96,2241.56,19.093827512982
"74","02/01/2017",4414184,"Draw","Manchester City","Burnley",12248.16,1575.42,7.77453631412576
"75","02/01/2017",4414184,"Manchester City","Manchester City","Burnley",13012.7052,11031.64,1.1795802981243
"76","02/04/2017",4414288,"Arsenal","Arsenal","Manchester City",28559.9847,9892.28,2.88709829281015
"77","02/04/2017",4414288,"Draw","Arsenal","Manchester City",55543.98,14674.04,3.78518662890383
"78","02/04/2017",4414288,"Manchester City","Arsenal","Manchester City",179667.7046,73233,2.4533708109732
"79","02/04/2017",4414290,"Draw","Swansea","Middlesbrough",1681.295,494.32,3.40122794950639
"80","02/04/2017",4414290,"Middlesbrough","Swansea","Middlesbrough",13943.101929354,3087.2,4.5164232733072
